Fillingdate;EquivInterval;EquivMonth;IsDeadLine
30 days from the request of tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
It should be available at the time of a tax audit of accounting records;At request of Tax Authorities;At request of Tax Authorities;0
Only upon request, e.g. during a tax audit, within 7 days (the usual deadline for requests in the course of tax check-ups) or 14 days (the usual deadline for requests in the course of tax audits) from the receipt of the request;At request of Tax Authorities;At request of Tax Authorities;0
Upon request of the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
There is no filing date stipulated by the new TP provisions, the Master File is submitted within 60 days upon a request from the tax authority;At request of Tax Authorities;At request of Tax Authorities;0
Within at least 60 days upon request from the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
Upon request during a tax audit, which could be the first day of the audit. Within 30 days upon request;At request of Tax Authorities;At request of Tax Authorities;0
The Master File must be submitted within 60 days upon request from the tax authorities during a tax audit;At request of Tax Authorities;At request of Tax Authorities;0
The TP documentation must be prepared continuously and must be submitted to the Greenlandic tax authorities upon request within 60 days;At request of Tax Authorities;At request of Tax Authorities;0
Upon request during a tax audit, no later than 3 months following the deadlines for the corporate tax return (31 July);At request of Tax Authorities;At request of Tax Authorities;0
The Master File should be ready for submission within 45 days upon request;At request of Tax Authorities;At request of Tax Authorities;0
Within 60 days upon request see article 31b (6) of Tax Ordinance of 21 December 2010 inserted by the Ordinance of 19 December 2017;At request of Tax Authorities;At request of Tax Authorities;0
"Must be submitted within 30 days upon request of the tax authorities for transfer pricing audit cases which have commenced before 1 January 2021

Must be submitted within 14 days upon request of the tax authorities for transfer pricing audit cases which have commenced on or after 1 January 2021";At request of Tax Authorities;At request of Tax Authorities;0
Upon request during a tax audit, which could be the first day of the audit. If the Master File is not available in a timely manner upon request, the MTA is entitled to send a formal notice to the taxpayer requiring its communication within 30 days of receipt of the request, and that deadline can be extended until the end of the tax audit;At request of Tax Authorities;At request of Tax Authorities;0
The Master File should be available upon request of the DTA, in the administration of the taxpayer as of the due date of the corporate income tax return (i.e. for book years based on the calendar year 2016, at the latest on 31 May 2017 or, if a filing extension is requested and granted, on 30 April 2018). If the reporting fiscal year of the foreign ultimate parent entity deviates from that of a Dutch group entity, the reporting fiscal year of the ultimate parent entity can be used for preparing the Master File;At request of Tax Authorities;At request of Tax Authorities;0
Taxpayer shall keep, maintain and make available the Master File, and furnish, within 30 days, the documents and information to be kept and maintained if required by the Commissioner in the course of any proceedings undertaken under ITO;At request of Tax Authorities;At request of Tax Authorities;0
The taxpayer is not required to file it it should be available upon request. However, the taxpayer has 45 working days to submit the Master File once the tax authorities so require;At request of Tax Authorities;At request of Tax Authorities;0
Taxpayers are required to make available a Master File upon request on a date specified by the tax authority, no less than 30 days from the date of the request;At request of Tax Authorities;At request of Tax Authorities;0
Within 15 days following the request of the tax authorities, only after the deadline for filing of the corporate income tax return for the relevant tax period (3 or 6-month extension available);At request of Tax Authorities;At request of Tax Authorities;0
The Master File should be available upon request by the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
Within 60 calendar days of a written request from the Commissioner General of the IRD;At request of Tax Authorities;At request of Tax Authorities;0
Upon request after filing of the parent company’s corporate tax return;At request of Tax Authorities;At request of Tax Authorities;0
On the first day of a tax audit upon request from the tax authorities, and within 40 days afterwards upon summon from the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
It must be prepared by the end of the following fiscal year but will be submitted upon request;At request of Tax Authorities;At request of Tax Authorities;0
Submitted upon request;At request of Tax Authorities;At request of Tax Authorities;0
Upon request of the tax authorities. If requested, taxpayers will have 10 business days to submit this information;At request of Tax Authorities;At request of Tax Authorities;0
Upon request during a tax audit;At request of Tax Authorities;At request of Tax Authorities;0
There is no filing date stipulated by the new TP provisions, the Local File is submitted within 60 days upon a request from the tax authority;At request of Tax Authorities;At request of Tax Authorities;0
"The Local File must be submitted within 60 days upon request from the tax authorities during a tax audit

The documentation on business restructurings must be prepared no later than 6 months after the last of the reporting fiscal year and the information must be submitted within 30 days upon request from the tax authorities";At request of Tax Authorities;At request of Tax Authorities;0
The TP documentation must be prepared continuously and must be submitted to the Greenlandic tax authorities on request within 60 days;At request of Tax Authorities;At request of Tax Authorities;0
The Local File should be ready for submission within 45 days upon request. A request cannot be put forward until after the filing date of the tax return (article 93 of the Icelandic Income Tax Act 90/2003);At request of Tax Authorities;At request of Tax Authorities;0
"Not applicable.

The Local File needs to be submitted upon request of the tax authorities. The submission timeframe is expected to be shortened from 60 days upon request to 21 days (pending final regulations)";At request of Tax Authorities;At request of Tax Authorities;0
Within 60 days upon request see article 31b (6) of Tax Ordinance of 21 December 2010 inserted by the Ordinance of 19 December 2017 amending the Tax Ordinance;At request of Tax Authorities;At request of Tax Authorities;0
Should be available at the time of an audit for onsite examination. If not, the tax authorities will send a formal request for the documentation, after which the taxpayer has 15 days to make it available;At request of Tax Authorities;At request of Tax Authorities;0
Upon request during a tax audit, which could be the first day of the audit. If the Local File is not available in a timely manner upon request, the MTA is entitled to send a formal notice to the taxpayer requiring its response within 30 days of receipt of the request, and that deadline can be extended until the end of the tax audit;At request of Tax Authorities;At request of Tax Authorities;0
The Local File should be available upon request of the DTA, in the administration of the taxpayer as of the due date of the corporate income tax return (i.e. for book years based on the calendar year 2016, at the latest on 31 May 2017 or, if a filing extension is requested and granted, on 30 April 2018);At request of Tax Authorities;At request of Tax Authorities;0
Rule 27M requires that every taxpayer shall keep, maintain and make available the Local File, and provide it upon tax authorities’ request;At request of Tax Authorities;At request of Tax Authorities;0
The taxpayer is not required to file the Local File it should be available upon request. However, the taxpayer has 45 working days to submit the Local File once the tax authorities so require;At request of Tax Authorities;At request of Tax Authorities;0
Taxpayers are required to make available a local file upon request on a date specified by the tax authority, no less than 30 days from the date of the request;At request of Tax Authorities;At request of Tax Authorities;0
The Local File should be available upon request by the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
Upon request after filing of the local entity’s corporate tax return;At request of Tax Authorities;At request of Tax Authorities;0
Within 60 days upon request (extended to 180 days for first request);At request of Tax Authorities;At request of Tax Authorities;0
Must be submitted within 30 calendar days upon request from the tax authorities. A taxpayer that is incapable of complying with the filing deadline due to war actions may be released from the filing obligation, if its incapability has been confirmed in accordance with the procedure approved by the Ministry of Finance (Order No. 225 of 29 July 2022);At request of Tax Authorities;At request of Tax Authorities;0
Generally within 2 to 6 weeks depending on the concrete circumstances upon request from the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
No filing requirement, TP documentation should be available upon request (within 15 working days after a request is made by tax authorities), see provision 42.1. of the Tax Code of Azerbaijan);At request of Tax Authorities;At request of Tax Authorities;0
There are no filing requirements for TP documentation. Each taxpayer has the obligation to maintain sufficient information for the transactions performed. No filing requirements on a regular basis;At request of Tax Authorities;At request of Tax Authorities;0
