By 1 September of the year following the reporting fiscal year	8 month after end of Fiscal Year	31/08/2023	1
By 31 December of the year following the reporting fiscal year	12 month after end of Fiscal Year	31/12/2023	1
By the deadline for filing of the Constituent Entity's tax return for the preceding fiscal year	1 month after end of Fiscal Year	31/01/2023	1
By the deadline for submitting the tax return (i.e. 30 June of the year following the reporting year)	0 month after end of Fiscal Year	31/12/2022	1
By the end of each fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the end of June of each year	6 month after end of Fiscal Year	30/06/2023	1
By the end of May of the year following the reporting fiscal year	6 month after end of Fiscal Year	30/06/2023	1
By the end of the first reporting period	0 month after end of Fiscal Year	31/12/2022	1
By the end of the fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the end of the fiscal year in relation to the filing of the CbC report	0 month after end of Fiscal Year	31/12/2022	1
By the end of the fiscal year to which the CbC report relates.	0 month after end of Fiscal Year	31/12/2022	1
By the end of the relevant fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the end of the reporting fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the last business day of the month prior to the one in which the CbC report is to be submitted	1 month after end of Fiscal Year	31/01/2023	1
By the last business day of the third month immediately following the closing date of the fiscal year of the UPE.	3 month after end of Fiscal Year	31/03/2023	1
By the last day of parent's fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the last day of reporting fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the last day of reporting fiscal year of the UPE	0 month after end of Fiscal Year	31/12/2022	1
By the last day of the fifth month following the end of the reporting fiscal year	5 month after end of Fiscal Year	31/05/2023	1
By the last day of the first reporting fiscal year and then within 15 days if any change in reporting entity occurs	0 month after end of Fiscal Year	31/12/2022	1
By the last day of the group's fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the last day of the reporting fiscal year	0 month after end of Fiscal Year	31/12/2022	1
By the last day of the reporting period for years 2016-2018. As of 2019,the new deadline will be three months after the end of the given tax year.	3 month after end of Fiscal Year	31/03/2023	1
CbC report should be filed within 12 months of the last day of the fiscal year to which it relates, i.e. the first filing was at 31 December 2017 for FY 2016	12 month after end of Fiscal Year	31/12/2023	1
CbC reports must be filed with Revenue within 12 months of the end of the relevant accounting period	12 month after end of Fiscal Year	31/12/2023	1
The taxpayer is not required to file the Local File it should be available upon request. However, the taxpayer has 45 working days to submit the Local File once the tax authorities so require	At request of Tax Authorities	At request of Tax Authorities	0
The TP documentation must be prepared continuously and must be submitted to the Greenlandic tax authorities on request within 60 days	At request of Tax Authorities	At request of Tax Authorities	0
