Size,Bedrooms,Price
2560,3,512000
1873,2,256874
3220,4,512300
2950,4,645000
1850,3,315000
3980,5,730000
1440,2,150000
2550,4,465000
3120,4,567000
2320,3,420000
3100,4,598000
1780,3,315000
3320,4,628000
2300,4,390000
2990,4,550000
3680,5,725000
2900,4,495000
1950,3,360000
1780,2,250000
2380,4,460000
1770,2,300000
4130,6,875000
2630,4,505000
1620,2,220000
4020,5,840000
2260,4,425000
2070,3,360000
3150,5,680000
2040,3,350000
3930,5,780000
2140,3,370000
1990,3,360000
2180,3,390000
2850,4,530000
1950,3,350000
2470,4,480000
2240,3,390000
2030,3,355000
3390,5,650000
3380,5,620000
2770,4,520000
3130,4,605000
2430,4,470000
2260,4,420000
2860,4,510000
2090,3,340000
2150,3,375000
3010,4,580000
2330,4,445000
2720,4,530000
2120,3,360000
3260,4,610000
3460,5,750000
3680,5,785000
1860,2,280000
2570,4,500000
2880,4,575000
3230,4,628000
2040,3,350000
3970,6,875000
1940,3,340000
3190,4,605000
1980,3,350000
2020,3,360000
3290,4,625000
2000,3,350000
2900,4,580000
2300,4,445000
2480,4,515000
1720,3,320000
3360,5,670000
2930,4,565000
2740,4,510000
1560,2,180000
3320,4,615000
3090,4,590000
3180,4,650000
2210,4,400000
3550,5,720000
3650,5,770000
2220,4,420000
2070,3,370000
3620,5,785000
2470,4,480000
2720,4,510000
2590,4,500000
2540,4,480000
2930,4,560000
2550,4,480000
2120,3,350000
1950,3,345000
